Date,Open,High,Low,Close,Volume
2020-01-02,,,,,
2020-01-03,,,,,
2020-01-06,,,,,
2020-01-07,,,,,
2020-01-08,,,,,
2020-01-09,,,,,
2020-01-10,,,,,
2020-01-13,,,,,
2020-01-14,,,,,
2020-01-15,,,,,
2020-01-16,,,,,
2020-01-17,,,,,
2020-01-21,,,,,
2020-01-22,,,,,
2020-01-23,,,,,
2020-01-24,,,,,
2020-01-27,,,,,
2020-01-28,,,,,
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,,,,,
2020-02-03,,,,,
2020-02-04,,,,,
2020-02-05,,,,,
2020-02-06,,,,,
2020-02-07,,,,,
2020-02-10,,,,,
2020-02-11,,,,,
2020-02-12,,,,,
2020-02-13,,,,,
2020-02-14,,,,,
2020-02-18,,,,,
2020-02-19,,,,,
2020-02-20,,,,,
2020-02-21,,,,,
2020-02-24,,,,,
2020-02-25,,,,,
2020-02-26,,,,,
2020-02-27,,,,,
2020-02-28,,,,,
2020-03-02,,,,,
2020-03-03,,,,,
2020-03-04,,,,,
2020-03-05,,,,,
2020-03-06,,,,,
2020-03-09,,,,,
2020-03-10,,,,,
2020-03-11,,,,,
2020-03-12,,,,,
2020-03-13,,,,,
2020-03-16,,,,,
2020-03-17,,,,,
2020-03-18,,,,,
2020-03-19,11.220620155334473,11.220620155334473,11.220620155334473,11.220620155334473,100.0
2020-03-20,12.155670315611596,12.155670315611596,11.220618752872243,11.921907424926758,2300.0
2020-03-23,11.921907337069412,11.921907337069412,10.753092892258685,10.790494918823242,18700.0
2020-03-24,12.062163168458204,12.062163168458204,10.753091514670405,10.940101623535156,96100.0
2020-03-25,11.033608909664403,12.576443672180176,11.033608909664403,12.576443672180176,19200.0
2020-03-26,13.090721094455176,14.446545600891113,13.090721094455176,14.446545600891113,76400.0
2020-03-27,14.025774506430944,14.960826140193006,13.605001449584961,13.605001449584961,486500.0
2020-03-30,14.259535048971477,15.428349397247828,14.259535048971477,14.867318153381348,210000.0
2020-03-31,15.325493796364121,16.129638671875,13.61435048294294,16.129638671875,461500.0
2020-04-01,14.960823756616234,14.960823756616234,13.61435001088399,14.072525024414062,2998900.0
2020-04-02,14.642907070339191,14.867319227403593,11.332824632568013,12.417484283447266,15966300.0
2020-04-03,12.856959815929585,15.89587759060385,12.510990822436373,15.821073532104492,66934300.0
2020-04-06,15.951977099411312,16.036131871859673,13.885514268881536,14.437193870544434,37138000.0
2020-04-07,14.212783985331342,14.773815295854622,13.605000808710027,14.259536743164062,23486000.0
2020-04-08,13.558246794858505,14.259535422178773,12.838256709443755,13.333834648132324,49372700.0
2020-04-09,13.090723529746153,14.493301050790384,12.99721800498263,13.820063591003418,34992600.0
2020-04-13,13.558249801050856,13.558249801050856,13.072022483601156,13.08137321472168,21497400.0
2020-04-14,13.090721656431228,13.277731787461887,12.885010066430178,12.969164848327637,22350000.0
2020-04-15,12.65124742689306,12.768128872537726,12.099566860772685,12.492288589477539,14990700.0
2020-04-16,12.295926229622026,12.389431731458933,11.463731008558671,12.052813529968262,21745200.0
2020-04-17,12.436185338036012,12.931762391706352,12.09021638421071,12.847607612609863,21336500.0
2020-04-20,12.623196738790185,13.782660521521992,12.599820805227049,13.511495590209961,20032200.0
2020-04-21,13.296433946499462,14.259536840816432,13.259031918324085,13.735907554626465,16235900.0
2020-04-22,13.979019602431793,14.175380451075325,13.296432442506639,13.829411506652832,12539500.0
2020-04-23,13.74525514944376,14.886018086197756,13.661100382310382,14.699007987976074,12226000.0
2020-04-24,14.586800893803145,15.587305517083195,14.296934593330773,15.194583892822266,17390000.0
2020-04-27,15.119785315793902,15.718217803614973,14.937450528627762,15.708867073059082,12186100.0
2020-04-28,15.78367085690372,16.59716656628777,15.53120827020543,15.895877838134766,12983800.0
2020-04-29,16.325995134610135,16.905727735729247,16.05483118015278,16.494304656982422,12523200.0
2020-04-30,16.101587885426103,16.681320661269623,15.881851972519977,16.559762954711914,19094100.0
2020-05-01,16.204445076750858,16.22314653784538,15.540559259120679,15.680816650390625,10727200.0
2020-05-04,15.101081708960118,15.44705155649104,14.670957973587896,15.334844589233398,9700300.0
2020-05-05,15.596658237974578,15.671462281516483,14.811214889050024,14.932771682739258,16298000.0
2020-05-06,14.960825941626002,15.306795826252653,14.427846802810684,15.2319917678833,10647200.0
2020-05-07,15.15718623182356,15.933280805332892,14.848620153626047,15.344197273254395,12454100.0
2020-05-08,15.933279451126444,17.204948360977824,15.835097681811746,17.16754722595215,17693300.0
2020-05-11,17.232997629099277,17.53221379246904,16.84962669684814,17.158193588256836,9574600.0
2020-05-12,17.19559764778326,17.20494837741594,16.541062624719366,16.643917083740234,7743200.0
2020-05-13,16.092234023933745,16.304491808390754,15.054328164246513,15.372245788574219,10676300.0
2020-05-14,14.9795280912735,15.629388712656976,14.699012413614922,15.475104331970215,7797200.0
2020-05-15,15.241341892331342,15.863152124642333,14.960827097638449,15.624712944030762,7353800.0
2020-05-18,16.176395210472045,16.569117032563504,16.16704626205036,16.410158157348633,6135000.0
2020-05-19,16.30730252528267,16.756126923651184,16.036136669933178,16.615869522094727,8338100.0
2020-05-20,16.980538212342655,17.812733629295842,16.868333010501754,17.513517379760742,11910000.0
2020-05-21,17.335861054574867,18.25221138137164,17.29845812688369,18.186758041381836,9711500.0
2020-05-22,18.20545249995013,18.570123806462664,17.71922706371549,17.81273078918457,5937100.0
2020-05-26,18.336362496316962,19.262063368805006,18.0838981356013,18.242856979370117,7305400.0
2020-05-27,18.29895543791701,18.82258371754581,18.168048813877057,18.69167709350586,8969700.0
2020-05-28,18.775837387527933,19.13115623598707,18.238181966030147,18.32701301574707,8509200.0
2020-05-29,17.728576764035033,19.617381347795654,17.653772710394477,19.140504837036133,32990600.0
2020-06-01,19.215306716775597,20.524380182588775,19.215306716775597,20.402822494506836,7695700.0
2020-06-02,20.28126703508343,20.41123913331274,19.54725176833109,19.972700119018555,8295600.0
2020-06-03,20.0755553882932,21.11346314082356,19.991400609251862,20.776844024658203,9636300.0
2020-06-04,20.59918333644283,21.6183895225561,20.59918333644283,21.206966400146484,6651900.0
2020-06-05,22.01110837394136,22.815251276109233,21.86149852572184,22.029808044433594,7843600.0
2020-06-08,22.09526879516135,22.796557503790883,21.79605256483452,22.787208557128906,8570400.0
2020-06-09,22.198123119210738,22.403833813863994,21.702545166015625,21.702545166015625,6850000.0
2020-06-10,20.861000749512296,21.646444238180987,20.60853817230903,20.758146286010742,10262100.0
