Date,Open,High,Low,Close,Volume
2020-01-02,,,,,
2020-01-03,,,,,
2020-01-06,,,,,
2020-01-07,,,,,
2020-01-08,,,,,
2020-01-09,,,,,
2020-01-10,,,,,
2020-01-13,,,,,
2020-01-14,,,,,
2020-01-15,,,,,
2020-01-16,,,,,
2020-01-17,,,,,
2020-01-21,,,,,
2020-01-22,,,,,
2020-01-23,,,,,
2020-01-24,,,,,
2020-01-27,,,,,
2020-01-28,,,,,
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,,,,,
2020-02-03,,,,,
2020-02-04,,,,,
2020-02-05,,,,,
2020-02-06,,,,,
2020-02-07,,,,,
2020-02-10,,,,,
2020-02-11,,,,,
2020-02-12,,,,,
2020-02-13,,,,,
2020-02-14,,,,,
2020-02-18,,,,,
2020-02-19,,,,,
2020-02-20,,,,,
2020-02-21,,,,,
2020-02-24,,,,,
2020-02-25,,,,,
2020-02-26,,,,,
2020-02-27,,,,,
2020-02-28,,,,,
2020-03-02,,,,,
2020-03-03,,,,,
2020-03-04,,,,,
2020-03-05,,,,,
2020-03-06,,,,,
2020-03-09,,,,,
2020-03-10,,,,,
2020-03-11,,,,,
2020-03-12,,,,,
2020-03-13,,,,,
2020-03-16,,,,,
2020-03-17,,,,,
2020-03-18,,,,,
2020-03-19,37.083200697082184,42.64568080164451,37.083200697082184,41.95037078857422,7000.0
2020-03-20,41.727878102095886,42.65495829890036,41.71860885620117,41.71860885620117,3600.0
2020-03-23,38.93736248016358,38.93736248016358,37.06466033649595,37.08320236206055,11900.0
2020-03-24,37.08320236206055,37.08320236206055,36.156122303009035,37.08320236206055,77800.0
2020-03-25,37.083204773720354,41.53318863926079,35.22904453503433,38.019554138183594,7000.0
2020-03-26,41.71860885620117,44.03630934821235,41.02329870859782,41.71860885620117,29100.0
2020-03-27,41.71860563645864,44.03630594959523,41.7093363912793,41.93647003173828,263200.0
2020-03-30,41.02329683303833,46.354007720947266,41.02329683303833,46.354007720947266,118100.0
2020-03-31,43.10922718048096,46.354007720947266,41.51464818319073,46.354007720947266,210300.0
2020-04-01,42.636406078980414,44.96337506764553,40.79151552528667,43.29463195800781,1206100.0
2020-04-02,41.74085135642533,45.1117159538563,40.049859632865264,40.79152297973633,9264200.0
2020-04-03,40.55975130382516,45.705044761918764,38.75194453840588,43.86942672729492,22551600.0
2020-04-06,43.57276352571371,44.360780174864686,41.440480060484745,42.590057373046875,10294200.0
2020-04-07,41.857663839050154,43.56349119780849,39.79954508649129,41.05110168457031,12146500.0
2020-04-08,39.13205027042554,41.90402133245431,38.25132346590957,40.874961853027344,22265800.0
2020-04-09,40.83788234606026,46.58578032761993,40.79152904309009,45.55672073364258,17355600.0
2020-04-13,45.00972871124142,45.12097730968937,42.38609441729141,42.64567565917969,8545100.0
2020-04-14,42.562247012852744,42.923807683997346,40.76371290200506,42.543704986572266,10152100.0
2020-04-15,40.96766889809958,41.579541630886524,39.679028107573295,41.30141830444336,7935500.0
2020-04-16,40.86569154859138,43.02300657955937,40.37433670225698,42.293392181396484,8740200.0
2020-04-17,43.57276474866064,45.01901097942653,42.57151654200812,42.78474807739258,7878100.0
2020-04-20,41.718612747795646,43.55423128431498,41.62590613407946,42.08017349243164,5407500.0
2020-04-21,41.25506494542656,43.75818195279214,41.25506494542656,42.552978515625,6939700.0
2020-04-22,43.860164377609124,45.93682199034575,42.64568807451024,43.61912155151367,6801900.0
2020-04-23,43.9806881463721,44.53693844813271,43.09069190739195,44.00850296020508,5174800.0
2020-04-24,44.518388083737904,44.96338611992261,42.933081916730515,44.360782623291016,6446900.0
2020-04-27,44.574005759371744,45.056084221937965,44.13827705053876,44.70379638671875,5541100.0
2020-04-28,45.49182229999332,47.2347339577555,45.10245033775958,46.22421646118164,5368200.0
2020-04-29,47.067859312061174,47.95785540109522,46.08515308675478,47.42015075683594,4343900.0
2020-04-30,47.25327317310559,47.837331081700924,46.817544400461244,47.19764709472656,6123800.0
2020-05-01,46.65994002774507,46.84535320619154,44.78723792589229,46.085147857666016,3089700.0
2020-05-04,45.28785168172419,46.04805691648856,44.045564474775,45.91826629638672,5676600.0
2020-05-05,45.91827262221772,46.947332018404424,44.462757262223995,44.58327865600586,4103600.0
2020-05-06,45.0653662244265,45.42692691360836,44.397867391149155,44.7872428894043,2931800.0
2020-05-07,45.44546627798447,49.40409867288776,45.41765500707085,48.032020568847656,4803200.0
2020-05-08,48.31941192534942,50.2199253484528,48.310142680786385,49.088890075683594,4289400.0
2020-05-11,48.20816451218373,48.57899796150478,47.33671050376808,48.032020568847656,3150600.0
2020-05-12,48.384314722184286,48.47702486478717,46.06661420506725,46.09442901611328,3059800.0
2020-05-13,45.426932364569545,46.632135985303044,44.39323632713908,44.69453811645508,4567000.0
2020-05-14,44.13828671773081,44.870680888489005,43.78599526882317,44.499847412109375,4849900.0
2020-05-15,43.869428132008075,45.63088165964551,43.75817951509796,45.32494354248047,2981400.0
2020-05-18,46.46525281153485,48.52337172933603,46.46525281153485,48.32868576049805,4452600.0
2020-05-19,47.91150956482959,49.06850678272774,47.33208438485297,48.49557113647461,2050300.0
2020-05-20,48.71806252255608,50.711286314793355,48.64853080207707,49.3021240234375,4755100.0
2020-05-21,48.7251533054422,49.83254186242777,48.26916769381295,48.418060302734375,3813100.0
2020-05-22,48.81822381843093,49.06017659580957,47.385129828975366,48.12028884887695,2134300.0
2020-05-26,49.34865254874043,50.24201197939188,47.1804031579189,47.35721206665039,6247000.0
2020-05-27,48.00861922452633,48.995035238429956,47.245543958067564,48.743778228759766,5202300.0
2020-05-28,49.19974746806536,49.274195547588576,47.39442413818511,47.422340393066406,4260700.0
2020-05-29,46.93844532809289,49.199754598060736,46.69649613433895,48.99502944946289,7522700.0
2020-06-01,48.808910041650684,50.66076181101109,48.49251277529381,50.32575607299805,3073300.0
2020-06-02,50.40020389463771,50.94924614116788,49.590600429374696,50.390899658203125,2638100.0
2020-06-03,51.18189661764892,51.72163468592325,50.76313493534655,51.61927032470703,4134500.0
2020-06-04,51.46105900600947,52.72664802270167,50.89340479559194,51.55411911010742,3281300.0
2020-06-05,53.8154393038449,54.63341702135316,52.11247632015425,54.504066467285156,4615100.0
2020-06-08,54.60641891396107,57.06314883649021,54.30863368395027,57.0073127746582,5966500.0
2020-06-09,56.20703319307772,57.19344571717233,55.127560539430156,56.43967819213867,4610200.0
2020-06-10,56.40244681325371,56.72814834967579,54.92282466944387,54.93212890625,2658300.0
